acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0,1,0.0881,-10.732,0,0.334,0.5628,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327,
0.0162,https://api.spotify.com/v1/audio-analysis/5R0cvR5BMFkLomChhmcCzr,0.768,191226,0.777,5R0cvR5BMFkLomChhmcCzr,0,1,0.0692,-3.58,0,0.0476,0.4686125,124.978,4,https://api.spotify.com/v1/tracks/5R0cvR5BMFkLomChhmcCzr,audio_features,spotify:track:5R0cvR5BMFkLomChhmcCzr,0.431,
0.887,https://api.spotify.com/v1/audio-analysis/0gDRtumoR9ZrvAlnniToMz,0.445,269877,0.355,0gDRtumoR9ZrvAlnniToMz,0.00179,4,0.322,-7.351,1,0.0289,0.53453125,135.525,4,https://api.spotify.com/v1/tracks/0gDRtumoR9ZrvAlnniToMz,audio_features,spotify:track:0gDRtumoR9ZrvAlnniToMz,0.366,
0.00819,https://api.spotify.com/v1/audio-analysis/5S4T2Pdr8qhetF3UhkwuMj,0.358,340262,0.435,5S4T2Pdr8qhetF3UhkwuMj,0.000936,10,0.112,-7.265,1,0.0349,0.163325,76.132,4,https://api.spotify.com/v1/tracks/5S4T2Pdr8qhetF3UhkwuMj,audio_features,spotify:track:5S4T2Pdr8qhetF3UhkwuMj,0.14,
0.308,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.708,194088,0.418,2Fxmhks0bxGSBdJ92vM42m,0.093,0,0.1,-10.998,1,0.368,0.5120375,131.926,4,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.578,
0.601,https://api.spotify.com/v1/audio-analysis/18uwL0vNUanqZH0ro2QcOP,0.794,181613,0.188,18uwL0vNUanqZH0ro2QcOP,0,0,0.637,-11.957,1,0.0523,0.27479375,93.967,4,https://api.spotify.com/v1/tracks/18uwL0vNUanqZH0ro2QcOP,audio_features,spotify:track:18uwL0vNUanqZH0ro2QcOP,0.64,
0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11E-06,6,0.0936,-7.05,1,0.0705,0.53775625,136.041,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533,
0.0642,https://api.spotify.com/v1/audio-analysis/0PG9fbaaHFHfre2gUVo7AN,0.747,200890,0.57,0PG9fbaaHFHfre2gUVo7AN,0,1,0.0832,-6.711,1,0.081,0.52495,133.992,4,https://api.spotify.com/v1/tracks/0PG9fbaaHFHfre2gUVo7AN,audio_features,spotify:track:0PG9fbaaHFHfre2gUVo7AN,0.65,
0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290,0.792,2dpaYNEQHiRxtZbfNsse99,0,5,0.167,-2.749,1,0.0452,0.31259375,100.015,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671,
0.322,https://api.spotify.com/v1/audio-analysis/3u9tIlAnygQGNJ5VuSvTfi,0.804,397034,0.557,3u9tIlAnygQGNJ5VuSvTfi,0,0,0.106,-8.658,1,0.163,0.31283125,100.053,4,https://api.spotify.com/v1/tracks/3u9tIlAnygQGNJ5VuSvTfi,audio_features,spotify:track:3u9tIlAnygQGNJ5VuSvTfi,0.645,
