acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.37,https://api.spotify.com/v1/audio-analysis/0R0o8uOkDz40XsR6uwThfQ,0.788,222928,0.497,0R0o8uOkDz40XsR6uwThfQ,4.50E-06,11,0.0939,-10.964,0,0.151,0.500125,130.02,4,https://api.spotify.com/v1/tracks/0R0o8uOkDz40XsR6uwThfQ,audio_features,spotify:track:0R0o8uOkDz40XsR6uwThfQ,0.339
0.0652,https://api.spotify.com/v1/audio-analysis/79sYvkdnJGFrYx67nBL5Nk,0.719,210931,0.826,79sYvkdnJGFrYx67nBL5Nk,0.000684,9,0.314,-3.319,1,0.0297,0.4001625,114.026,4,https://api.spotify.com/v1/tracks/79sYvkdnJGFrYx67nBL5Nk,audio_features,spotify:track:79sYvkdnJGFrYx67nBL5Nk,0.586
0.562,https://api.spotify.com/v1/audio-analysis/11PO9iu6PtpgL1JK4QNUEJ,0.557,144907,0.683,11PO9iu6PtpgL1JK4QNUEJ,0.897,9,0.107,-9.298,0,0.0471,0.26228125,91.965,4,https://api.spotify.com/v1/tracks/11PO9iu6PtpgL1JK4QNUEJ,audio_features,spotify:track:11PO9iu6PtpgL1JK4QNUEJ,0.543
0.18,https://api.spotify.com/v1/audio-analysis/3AXScNtH6Ywywwma6u8h95,0.867,183337,0.583,3AXScNtH6Ywywwma6u8h95,5.05E-05,4,0.147,-8.782,0,0.359,0.25010625,90.017,4,https://api.spotify.com/v1/tracks/3AXScNtH6Ywywwma6u8h95,audio_features,spotify:track:3AXScNtH6Ywywwma6u8h95,0.451
0.601,https://api.spotify.com/v1/audio-analysis/31EltOuKi4PBBExtTTO00s,0.773,241091,0.672,31EltOuKi4PBBExtTTO00s,3.70E-06,8,0.139,-5.493,0,0.0684,0.3750875,110.014,4,https://api.spotify.com/v1/tracks/31EltOuKi4PBBExtTTO00s,audio_features,spotify:track:31EltOuKi4PBBExtTTO00s,0.247
0.129,https://api.spotify.com/v1/audio-analysis/5Y3ZTBwRNrgj3AlXYASvDe,0.83,222329,0.515,5Y3ZTBwRNrgj3AlXYASvDe,0,6,0.1,-5.942,0,0.424,0.28255625,95.209,4,https://api.spotify.com/v1/tracks/5Y3ZTBwRNrgj3AlXYASvDe,audio_features,spotify:track:5Y3ZTBwRNrgj3AlXYASvDe,0.692
0.304,https://api.spotify.com/v1/audio-analysis/7l8e7Pe8qndxhCU245rIve,0.528,218741,0.811,7l8e7Pe8qndxhCU245rIve,2.21E-05,8,0.0565,-7.147,0,0.0651,0.7251375,166.022,4,https://api.spotify.com/v1/tracks/7l8e7Pe8qndxhCU245rIve,audio_features,spotify:track:7l8e7Pe8qndxhCU245rIve,0.748
0.934,https://api.spotify.com/v1/audio-analysis/1NJcg626wLln4pGHpiV7mf,0.351,200186,0.296,1NJcg626wLln4pGHpiV7mf,0,4,0.095,-10.109,0,0.0333,0.408025,115.284,4,https://api.spotify.com/v1/tracks/1NJcg626wLln4pGHpiV7mf,audio_features,spotify:track:1NJcg626wLln4pGHpiV7mf,0.12
0.0496,https://api.spotify.com/v1/audio-analysis/2LW11Yumkr933BEzOlSTtU,0.696,205088,0.872,2LW11Yumkr933BEzOlSTtU,2.09E-06,11,0.361,-5.967,0,0.045,0.48754375,128.007,4,https://api.spotify.com/v1/tracks/2LW11Yumkr933BEzOlSTtU,audio_features,spotify:track:2LW11Yumkr933BEzOlSTtU,0.717
0.193,https://api.spotify.com/v1/audio-analysis/0ewiq9snqyF3dULzbMqI3J,0.787,245040,0.576,0ewiq9snqyF3dULzbMqI3J,0,2,0.231,-8.366,1,0.164,0.4999125,129.986,4,https://api.spotify.com/v1/tracks/0ewiq9snqyF3dULzbMqI3J,audio_features,spotify:track:0ewiq9snqyF3dULzbMqI3J,0.202
