acousticness,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,speechiness,tempo_normalised,tempo,valence,Popularity,Language,Genre
0.0101,0.823,183046,0.56,63THFs9ovzO3WQsz4lzh0H,2.86E-05,0.126,-7.057,0.0629,0.6059875,146.958,0.371,75,German,Hip Hop
0.00852,0.51,240339,0.842,0EQMrxdeiBhry9JCxskko3,0,0.346,-2.782,0.103,0.23503125,87.605,0.302,75,Korean,K-pop
0.614,0.845,187213,0.663,6rbhaJsE4uLzpPf8WYSHDK,0,0.114,-5.233,0.27,0.27634375,94.215,0.508,76,Spanish,Hip Hop
0.0328,0.726,173720,0.889,2hl6q70unbviGo3g1R7uFx,0,0.0925,-3.655,0.0429,0.28765,96.024,0.649,76,Spanish,Latin Pop
0.172,0.644,198627,0.68,3uB8KqnEoQq5bTQ1JFHJ7Y,4.06E-05,0.0435,-3.863,0.24,0.47165625,125.465,0.683,76,German,Hip Hop
0.205,0.74,219600,0.74,2XVilv6s9GETnw9PG4T9Mz,0,0.107,-3.647,0.0686,0.2746875,93.95,0.717,77,Spanish,Reggaeton
0.228,0.635,204701,0.713,0ERbK7qVqveCaBWIiYCrl3,0,0.0506,-6.909,0.0937,0.81165,179.864,0.749,77,Spanish,Reggaeton
0.138,0.866,200347,0.859,4178A5NkEjcsGc64jpBO6d,0,0.401,-3.087,0.0587,0.374825,109.972,0.923,77,Spanish,Folk
0.188,0.772,242160,0.803,6U2NuJILEOEpW2tVCuqKHb,0,0.434,-3.035,0.0468,0.28113125,94.981,0.853,77,Spanish,Reggaeton
0.138,0.878,190909,0.555,0r9d60ZYPAlFHq8qnUtkXN,1.34E-06,0.151,-7.639,0.202,0.23768125,88.029,0.751,77,Spanish,Hip Hop
0.299,0.815,196320,0.784,38QmUDpkoYlNbMKvpvAsrE,0,0.0958,-4.423,0.0738,0.7059875,162.958,0.832,77,Spanish,Latin Trap
0.0559,0.832,209453,0.772,3QwBODjSEzelZyVjxPOHdq,0.000486,0.44,-5.429,0.1,0.2876,96.016,0.704,77,Spanish,Reggaeton
0.4,0.761,222560,0.838,3AEZUABDXNtecAOSC1qTfo,0,0.176,-3.073,0.0502,0.2748375,93.974,0.71,77,Spanish,Reggaeton
0.0744,0.684,208163,0.823,7nKBxz47S9SD79N086fuhn,0,0.111,-3.297,0.0773,0.25655,91.048,0.647,77,Spanish,Latin Pop
0.0983,0.78,171375,0.521,7iTTQvztpfrDneVSX9IGBD,0.000125,0.0967,-5.094,0.123,0.68804375,160.087,0.643,77,French,Hip Hop
0.352,0.746,179693,0.703,33zcmmElV1YbRZe57biUjg,0,0.331,-4.179,0.107,0.72526875,166.043,0.667,78,Spanish,Latin Pop
0.94,0.573,233930,0.31,3RD0PGolM0mETGHaprwgMn,5.65E-06,0.198,-11.134,0.296,0.79750625,177.601,0.764,78,Spanish,Latin Trap
0.111,0.769,207720,0.721,31M5m42C3EGlbydf9XB5to,5.90E-05,0.0505,-4.483,0.153,0.2811125,94.978,0.618,78,Spanish,Reggaeton
0.549,0.788,213027,0.477,7MHN1aCFtLXjownGhvEQlF,0,0.349,-7.348,0.0434,0.28114375,94.983,0.86,78,Spanish,Latin Pop
0.187,0.852,195840,0.773,6mICuAdrwEjh6Y6lroV2Kg,3.05E-05,0.159,-2.921,0.0776,0.3252125,102.034,0.907,78,Spanish,Reggaeton
0.141,0.743,202453,0.855,7JNh1cfm0eXjqFVOzKLyau,0.0045,0.099,-3.976,0.0436,0.29368125,96.989,0.871,78,Spanish,R&B
0.394,0.637,228615,0.799,3p6hnejEQYXkiTO1lAzVc0,0,0.0921,-4.519,0.0338,0.34371875,104.995,0.562,78,Korean,K-pop
0.379,0.737,153308,0.75,260R90ctQ1SiPax90PuEsT,0,0.131,-6.464,0.298,0.19971875,81.955,0.857,78,German,Hip Hop
0.287,0.743,197968,0.73,4uP3pUP18ennmz0tb3GphR,8.10E-05,0.0778,-4.314,0.125,0.812325,179.972,0.15,79,Spanish,R&B
0.165,0.855,226800,0.664,5Y9fnynLlIvqtM710MHzfz,3.97E-05,0.0937,-7.11,0.0607,0.30009375,98.015,0.626,79,Spanish,Latin Pop
0.0204,0.849,201122,0.724,2RVrdr062uLFxXwIxwdXPH,5.98E-06,0.235,-4.139,0.0665,0.30003125,98.005,0.63,79,Spanish,Latin Pop
0.0861,0.751,169567,0.642,2wVDWtLKXunswWecARNILj,0,0.0953,-5.165,0.087,0.28153125,95.045,0.388,79,Korean,K-pop
0.159,0.626,187000,0.768,6VMAFT0zfide2Jg8MVZAPz,0.000186,0.0848,-4.653,0.166,0.1879125,80.066,0.753,79,German,Hip Hop
0.39,0.766,231921,0.822,7DrluKkTviBwCc8AV3VGmf,3.37E-05,0.349,-4.126,0.16,0.7240125,165.842,0.881,80,Spanish,Reggaeton
0.0564,0.807,311726,0.633,7rwX0O3RlxqqIjQM8evm5E,0,0.107,-6.016,0.0929,0.5502375,138.038,0.325,80,Spanish,Latin Trap
0.266,0.817,215151,0.74,2wRkBumdItthjYP9XknImg,0,0.0992,-4.566,0.283,0.50025,130.04,0.674,80,Spanish,Latin Pop
0.161,0.684,250840,0.811,5qFeMRz4TvetPmzjre9Dq7,0.000363,0.0871,-4.494,0.0714,0.2366625,87.866,0.721,80,Spanish,Reggaeton
0.00267,0.557,242334,0.719,3aW0ds4A4tSQDIp75FqWTo,0,0.306,-4.515,0.0372,0.17188125,77.501,0.344,80,Korean,K-pop
0.387,0.73,172321,0.725,4AgK0CwpwcekXVdAoYB2VO,0,0.153,-4.889,0.318,0.1853,79.648,0.625,80,German,Hip Hop
0.165,0.792,201526,0.895,4QtiVmuA88tPQiCOHZuQ5b,0,0.0501,-3.112,0.0589,0.28105,94.968,0.794,81,Spanish,Reggaeton
0.183,0.791,200480,0.848,6KuqAtoeVzxAYOaMveLNpH,0,0.409,-3.456,0.0506,0.28125,95,0.828,81,Spanish,Reggaeton
0.483,0.704,195044,0.706,675w3ACw5xZR3ODhUJlEVN,0,0.0965,-5.233,0.111,0.26853125,92.965,0.856,81,Spanish,Latin Pop
0.519,0.732,178000,0.583,7r55d7IhAj5UGKiYbXBwRP,1.97E-05,0.108,-6.766,0.125,0.3154,100.464,0.277,81,German,Hip Hop
0.16,0.769,249609,0.838,0VKkyBKCXyR99navhVRqcP,0,0.0935,-5.238,0.0633,0.274975,93.996,0.602,82,Spanish,Latin Pop
0.498,0.676,172767,0.844,5EKHbW7mXcAR4hCyS3YXjb,0,0.866,-3.396,0.109,0.68730625,159.969,0.716,82,Spanish,Latin Pop
0.254,0.691,200747,0.71,1h9P5WJwyvK8OB7O2YiXgp,0,0.108,-5.144,0.334,0.8877875,192.046,0.726,82,Spanish,Reggaeton
0.31,0.749,183753,0.752,62o8KoI44JfN7aYxgTnPvh,0,0.232,-4.883,0.345,0.81280625,180.049,0.901,82,Spanish,Latin Pop
0.0543,0.777,221653,0.779,6jA8JUuPCGYjFcgw0AoM5T,0,0.636,-4.449,0.0972,0.27514375,94.023,0.768,82,Spanish,Latin Pop
0.0231,0.744,205715,0.804,6De0lHrwBfPfrhorm9q1Xl,0,0.0494,-6.327,0.0677,0.34264375,104.823,0.426,82,Spanish,Latin Pop
0.217,0.928,162997,0.402,5iIgIxtMNeogKaFUfvuAbs,3.38E-05,0.0957,-10.641,0.32,0.29985,97.976,0.578,82,German,Hip Hop
