year,rank,artist,title,id
1959,67,David Seville and The Chipmunks,The Chipmunk Song,02NKMA9cIkq6VuBNu9q9Wf
1959,68,Fats Domino,I Want To Walk You Home,0bnzRp6ghPlYV9lCubDtDA
1959,69,Fiestas,So Fine,0TX0SRmxbm5ccRJfenC0Gx
1959,70,Frankie Avalon,Bobby Sox To Stockings,5KRiWiKmsbiRXMRaftXgCD
1959,71,Wink Martindale,Deck Of Cards,4U3S2BgQeX25uW0fEPDSSt
1959,72,Clyde Mcphatter,A Lover's Question,6HBgCYResmsdmOufyHVoNB
1959,73,Flamingos,I Only Have Eyes For You,3YdKJzcoMZMacISlpY4QoP
1959,74,Ricky Nelson,It's Late,4TAKO1uPQfnbioLdXUCUvY
1959,75,Chris Barber's Jazz Band,Petite Fleur,5IOrscHhyyr2LqbKu8wEXb
1959,76,Annette,Tall Paul,2LoYVbnjDBM86KOm7dwzEy
1959,77,Kingston Trio,The Tijuana Jail,3DWbrazvKulmHjf9eqDjmY
1959,78,Ricky Nelson,Just A Little Too Much,5mIfY39eTpWHj2gpEXvjb6
1959,79,Jack Scott,Goodbye Baby,5rsw9X7x69a5aiTvQqm9Tl
1959,80,Coasters,Along Came Jones,0tawDLxHZfwPLeAtwcHACb
1959,81,Tommy Dee and Carol Kay,Three Stars,6gTvjqa5IZ229RVUfzaHRo
1959,82,Frankie Avalon,A Boy Without A Girl,3cadTfouAXa0LU4DlfjloQ
1959,83,Ricky Nelson,Sweeter Than You,4si2ZU8jVZWTuoUvkujcmw
1959,84,Skip and Flip,It Was I,1QJR1uYpBNVlCDS7NjpgUR
1959,85,Kathy Linden,"Goodbye, Jimmy, Goodbye",6QJ2yH2UGcXyLq0jrVBmld
1959,86,Reg Owens Orch.,Manhattan Spiritual,Not in spotify
1959,87,Brook Benton,Endlessly,2N0ovIn21Hdq6VEUgA5cDj
1959,88,Guy Mitchell,Heartaches By The Number,1Qq2h00WuP1b1csqudhAQp
1959,89,Frankie Ford,Sea Cruise,7L1IYbA2eLJQWjXEXNUV3l
1959,90,Jackie Wilson,That's Why,6euspNJt8TJizoXXUfJnAX
1959,91,Falcons,You're So Fine,3wTHf5c2Yy1xPuhfKlDSEv
1959,92,Bobby Rydell,Kissin' Time,21ZVvnP0MY0EbrOovH0tUp
1959,93,Elvis Presley,My Wish Came True,1vxwSErcxm2eLS48BwwZgv
1959,94,Ivo Robic,Morgen,7tLQPp35fxkTo3Q1d5YNnm
1959,95,Jan and Dean,Baby Talk,6UxKIfGVsCLGlFJo8IusPc
1959,96,Preston Epps,Bongo Rock,24ARx0FzakIPAXphf0cHIH
1959,97,Everly Brothers,Take A Message To Mary,1RTWPyDePfcRa2E2Unv9HH
1959,98,Mormon Tabernacle Choir,Battle Hymn Of The Republic,2HDygKK9QF1ppgXF3K1tgl
1959,99,Ernie Fields Orchestra,In The Mood,6nCRUa8xPE59AyOfZBr3Qt
1959,100,Paul Evans and The Curls,(Seven Little Girls) Sitting In The Back Seat,255jxAM0jf3sGO2gbHfegy
1958,1,Domenico Modugno,Volare (Nel Blu Dipinto Di Blu),1aSLWs30nitk2RRoEWjS0i
1958,2,Everly Brothers,All I Have To Do Is Dream / Claudette,7dblNGnRXEBrVJunazs2U5
1958,3,Elvis Presley,Don't / I Beg Of You,1KcydF7Oux2O5cZX7tAIGI
1958,4,David Seville,Witch Doctor,2sbSOIo4s5x87DVi3X1sJj
1958,5,Perez Prado,Patricia,205EtD8tQnHDXMkmtYiaHF
1958,6,Billy Vaughn,Sail Along Silvery Moon / Raunchy,2DCw1xNUcti2TjueutdHTc
1958,7,Perry Como,Catch A Falling Star / Magic Moments,7tRKgHo6gCKCVve8LWPLM8
1958,8,Champs,Tequila,5gJKsGij5oGt5H5RSFYXPa
1958,9,Tommy Edwards,It's All In The Game,2lmPUdIdzlFH64PWJrw6Zb
1958,10,Dean Martin,Return To Me,6YAgmqaeo8Fm3pne8OJEBo
1958,11,Conway Twitty,It's Only Make Believe,2FPHyyvfLMIV8GkUWWwYl5
1958,12,Sheb Wooley,The Purple People Eater,5KpJezM0YGRT5ss8eNAJOk
1958,13,Everly Brothers,Bird Dog / Devoted To You,4FrMb1ckGBrhARbHySQKx5
1958,14,Silhouettes,Get A Job,21NhrNOfIoakyWISXUMkFN
1958,15,Elegants,Little Star,0RzeRUPfCVO8y2u07r8MvI
1958,16,Ricky Nelson,Stood Up / Waitin' In School,5zYvVUfInIEx5xGR2qe3Ls
1958,17,Laurie London,He's Got The Whole World In His Hands,1pmTmzgbo4Y73DZuQ4cLae
1958,18,Platters,Twilight Time,3MpGQae6zAFd7Z1FdLV9fV
1958,19,Jimmie Rodgers,Secretly,1uD5AdWkw3S8wj1VxWwEGl
1958,20,Danny and The Juniors,At The Hop,3QujhpwgBUDjwWttXwQQbt
1958,21,Coasters,Yakety Yak,7demHL0GXA6YmTNqw3Btz8
1958,22,Elvis Presley,Wear My Ring Around Your Neck / Doncha' Think It's Time,36BT9FxW5dorOiUXZ5fb4B
1958,23,Ricky Nelson,Poor Little Fool,5ayybTSXNwcarDtxQKqvWX
1958,24,Pat Boone,Wonderful Time Up There / It's Too Soon To Know,17kDWEQTWHIKbyDINexE15
1958,25,Jimmy Clanton,Just A Dream,1tKMOJW1eTIMSNtILF0ce9
1958,26,McGuire Sisters,Sugartime,7jVgswNL5RWyL5ZcgDYvnl
1958,27,Bobby Day,Rockin Robbin / Over And Over,1uhRE4sY2O3QO8OV8DM1vj
1958,28,Kingston Trio,Tom Dooley,2qLxtO0iaFGI9x19vU3bDI
1958,29,Chuck Berry,Sweet Little Sixteen,4fAHHeLMX0haeSnUfU1tVl
1958,30,Cozy Cole,Topsy II / Topsy I,3cBPesXC7p7vcGvFVhFef2
1958,31,Nat King Cole,Looking Back / Do I Like It,4tRnUUeXZYLuiF6YvaYuBB
1958,32,Monotones,Book Of Love,5qFBQrgwGsiej6wvBGSrup
1958,33,Tommy Dorsey Orch. and Warren Covington,Tea For Two Cha Cha,6r0oLF46bGLDq2gdTORO2B
1958,34,Little Anthony and The Imperials,Tears On My Pillow,6BDCodskcPVtuWwvTpaVDB
1958,35,Royal Teens,Short Shorts,7MtZGPdM4fXzf6YFrQ3qfs
1958,36,Jerry Lee Lewis,Great Balls Of Fire,5UvE5QlINnvEc7aFO14DVL
1958,37,Chordettes,Lollipop,6lRSx3e4K6ty5E8oegtiXg
1958,38,Bobby Darin,Splish Splash,40fD7ct05FvQHLdQTgJelG
1958,39,Connie Francis,Who's Sorry Now,2hoEISYqDdskGxin3ObSZd
1958,40,Jack Scott,My True Love / Leroy,2urRqmAFhjZKo8Z6sEGzEv
1958,41,Jody Reynolds,Endles Sleep,7u07WDKGH6LQ0E8evYhrWY
1958,42,Bobby Freeman,Do You Want To Dance?,5LHBKNgFqNdijZaev8g1j3
1958,43,Kalin Twins,When,1BQOMZeYwzesvXANmRgrEp
1958,44,Teddy Bears,To Know Him Is To Love Him,2fa1vwxc0cs3tX7hTr7mSR
1958,45,Pat Boone,April Love,5ax1MN2MGW0ZJXquCkpuLM
1958,46,Duane Eddy,Rebel-'Rouser,7jZwak3w1Sbwkb8aqusUwi
1958,47,Crescendos,Oh Julie,05SaTv9cyWTnsw8U1rRaxB
1958,48,Diamonds,The Stroll,3LrrLUUgurCR11FmaLMnAT
1958,49,Elvis Presley,Hard-Headed Woman / Don't Ask Me Why,32CVurlBxtEYQlDm3yzCLl
1958,50,Buddy Holly,Peggy Sue,1a4YRgItMM4aGilIg99elY
1958,51,Don Gibson,Oh Lonesome Me,7pE3xCbi3P4OyHWzONRZwB
1958,52,Big Bopper,Chantilly Lace,6h7QjxbS5XbfGIe0Oxij61
1958,53,Rick Nelson,Lonesome Town,6FDSdTU9gbHzfiV81vhsko
1958,54,Frank Sinatra,All the Way,1ktkBoXdDHD2N856EVKKTp
1958,55,Elvis Presley,One Night,6zGg2IF0FJYXRaOTPGWa24
1958,56,Robin Luke,Susie Darlin',0WPfx9FKqu60kJmxyOgFIJ
1958,57,Four Preps,26 Miles,1fJee72GXHYoCYO9gw5X6F
1958,58,Earl Grant,The End,6vLBGiNkLjWvNMrummOSGK
1958,59,Jimmie Rodgers,Kisses Sweeter Than Wine,1C9vychO0sinY9pS7Ngqxd
1958,60,Playmates,Beep Beep (The Little Nash Rambler),5FN5jb6U5OHYAS94iBWjJf
1958,61,Mitch Miller,March From the River Kwai and Colonel Bogey March,4NYFLbJjGX0tExZ8ySt2pz
1958,62,Everly Brothers,Problems,3sWKLBzvLKyZPj6gLx9RpO
1958,63,Bobby Darin,Queen of the Hop,6GNzFswd2lirFJ2ocGCQQ5
1958,64,Will Glahe,Liechtensteiner Polka,2ba8VkJ79brOalVYeQmr1D
1958,65,Elvis Presley,I Got Stung,2dniIpTXZYRJy47ugUEYQG
1958,66,Andy Williams,Are You Sincere,6SW50CFLBpAWGDB0VtbTuW
1958,67,Ricky Nelson,I Got a Feeling,2byqYLWfE9ZljbQ9v6yRfX
1958,68,Poni Tails,Born Too Late,3JebzygT2LJdcS24gfZ6ti
1958,69,Johnny Otis Show,Willie and the Hand Jive,4aWgjyOJiJNrCGyaueQoVl
1958,70,Four Preps,Big Man,0KayDFomB8iDyAdOpKfKTK
1958,71,Crickets,Oh Boy,1nzNNTayRcJ2Oa48zJnnM7
1958,72,Chuck Willis,What Am I Living For,0HawB5dqy8POPvScBz7uQ9
1958,73,Chuck Berry,Johnny B Goode,4Hbe0lRKsXtDZ2wQIovz7I
1958,74,Eddie Cochran,Summertime Blues,3oAWTk92mZBxKBOKf8mR5v
1958,75,Roger Williams,Near You,3Ud0Z2i2ilRkREJZkeNsye
1958,76,Peggy Lee,Fever,4Ke1CYcm2wYDFlOhziFFjK
1958,77,Ed Townsend,For Your Love,7f4rOYT3NqBWnTCRc2cRpB
1958,78,Paul Anka,You Are My Destiny,36Jxpbk3PlcDo9hSGiAsfU
1958,79,Art and Dotty Todd,Chanson D'Amour,0xnicO86V15DW2D2d7rX1u
1958,80,Lou Monte,Lazy Mary,5bWJo6ey0dQgKlaz1GTEBf
1958,81,Johnny Cash,Ballad of a Teenage Queen,5HwAaXDLVDgVcoGIjDRANK
1958,82,Pat Boone,It's Too Soon to Know,2Qtk9KM37ibE5w3M6TQHV3
1958,83,Jimmy McCracklin,The Walk,1Y7PR1ThUf9Q5rPOnNAeWK
1958,84,Perry Como,Kewpie Doll,6y7GPudskCX2luLdFOHyO7
1958,85,George Hamilton Iv,Why Don't They Understand,1MkPFLINOUHthmArVvKKom
1958,86,Frankie Avalon,Dede Dinah,5Xyt4rammXH3LcUuSvOwfo
1958,87,Pat Boone,Sugar Moon,6UM5WX0bgEkcv1CzKWyacv
1958,88,Everly Brothers,Devoted to You,4FrMb1ckGBrhARbHySQKx5
1958,89,Chantels,Maybe,0L9DyLA4dvAHCc2YUVJM9Y
1958,90,Kathy Linden,Billy,4KBukqcdrcNP6gBLJzGabM
1958,91,Johnny Cash,Guess Things Happen That Way,5plFxJ5v8FLIJycilxn9bG
1958,92,Olympics,Western Movies,1hmYmgmcf7g425sfCT19RK
1958,93,Roy Hamilton,Don't Let Go,4pSya99C9RPXHILeAK0bDj
1958,94,Hollywood Flames,Buzz-Buzz-Buzz,3sCqhKpSxggUAE8hZkUnXB
1958,95,Jerry Lee Lewis,Breathless,7dy4kr1TLXTbhQEAhPlh8N
1958,96,Jan and Arnie,Jennie Lee,566pW8QSYKpLLZ5JRrStUV
1958,97,Royaltones,Poor Boy,1WVRUZn53ozgLLJF2CKp3y
1958,98,Marty Robins,The Story of My Life,58ojWS1EGL6z5rEOELtJmH
1958,99,Frankie Avalon,I'll Wait For You,7FznuAphcIxCkQb6w5UeHv
1958,100,Frankie Avalon,Ginger Bread,1TRBNskaco4d6OQ9uVY7rz
1957,1,Elvis Presley,All Shook Up,5ueyLj6e6oVaTY0KQ6yLaA
1957,2,Pat Boone,Love Letters In The Sand,1eqGYJJr2z2GXK1i0hD3BC
1957,3,Diamonds,Little Darlin',7ycFNferNuk6wAjBa0vWvl
1957,4,Tab Hunter,Young Love,5oUI8shc64v1cl3PKUOXHA
1957,5,Jimmy Dorsey,So Rare,4GAeU1Af8saRit9ZZ5YVIm
1957,6,Pat Boone,Don't Forbid Me,5XjPPdhCGeAEecJlxAJt3M
1957,7,Guy Mitchell,Singing The Blues,084mnrInuL8H1JZbIzuH3T
1957,8,Sonny James,Young Love,7ow0KcdNRitEedvwQNTd6S
1957,9,Elvis Presley,Too Much,6Dr0EbXrRpMs5GeCjOxnE5
1957,10,Perry Como,Round And Round,6hdPYYPHJz6IPuH4KayU1d
1957,11,Everly Brothers,Bye Bye Love,6oRHRkQigTzJ3KwpO3XOV6
1957,12,Debbie Reynolds,Tammy,5aumFAJ6QzEy8Sm9fluanc
1957,13,Buddy Knox,Party Doll,3SNEFR9U8CCEUN3iZfkVgW
1957,14,Elvis Presley,Teddy Bear,4FjkmQ9JYaIeh1NxeLEO80
1957,15,Harry Belafonte,Banana Boat (Day-O),4fHDlIntTsRGSyTg5UYZYC
1957,16,Elvis Presley,Jailhouse Rock,4gphxUgq0JSFv2BCLhNDiE
1957,17,Marty Robbins,A White Sport Coat (And A Pink Carnation),5iHuqnpfjAF05BDR5CapVU
1957,18,Del-Vikings,Come Go With Me,4IYyGIbMS5ZkxDXGfPIrXr
1957,19,Everly Brothers,Wake Up Little Susie,11fNLqDB47gMKj7BHhR2Qr
1957,20,Sam Cooke,You Send Me,0BFEyqJ9DJXS7gKg0Kj46R
1957,21,Coasters,Searchin',43hOLQIpMWwnc3PoGvwUpA
1957,22,Chuck Berry,School Day,1ABzAAYXXU8VQDMdhmC1U3
1957,23,Ferlin Husky,Gone,7vHtcfo1km2WasWAkaDbN3
1957,24,Paul Anka,Diana,4chlGZQX5uPYpRLp3NezmX
1957,25,Ricky Nelson,A Teenager's Romance,1Qn5jElT7XqjvVeJ8pYM2w
1957,26,Tarriers,The Banana Boat Song,1EzgI18ixqYUzJEfOwRjai
1957,27,Jimmie Rodgers,Honeycomb,6UNk1f2gbaoPNZM0hGGbLv
1957,28,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,2Yply65U0i60PA5XZMYNC2
1957,29,Gale Storm,Dark Moon,05XLpxJsuOygREPY77Eou8
1957,30,Crickets,That'll Be The Day,2IoNjxfeY1EbqGAp6fRYzf
1957,31,Charlie Gracie,Butterfly,2teuJ5gNuTaryRKYeR32v9
1957,32,Frankie Laine,Moonlight Gambler,27jaiKKAGY0HXVXkOGnUJW
1957,33,Tommy Sands,Teenage Crush,2RoygsG2FsQLfpepuwELzw
1957,34,Johnny Mathis,It's Not For Me To Say,0LzsNy1SqlM0qkRGL2RJfv
