acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,rank,genre
0.263,0.677,179507,0.556,1HXy5I3HTWq8OvxCn0z7G7,0.0,9,0.105,-6.544,1,0.0306,80.009,4,0.521,80,2018,53,contemporary country
0.0606,0.813,220395,0.574,2771LMNxwf62FTAdpJMQfM,0.0,9,0.428,-9.401,1,0.0577,124.98200000000001,3,0.546,26,2018,54,pop
0.147,0.755,216632,0.599,10Igtw8bSDyyFs7KIsKngZ,0.0,8,0.109,-5.042,1,0.22399999999999998,133.123,4,0.755,82,2018,55,hip hop
0.0553,0.66,157643,0.775,4HbiCvH1R7mVOJ7KY7JQBD,0.0,2,0.129,-4.926,1,0.172,157.036,4,0.635,75,2018,56,emo rap
0.20199999999999999,0.8759999999999999,175230,0.519,1ZAyjvIk9YiD76yYy0TEG6,0.0,11,0.10800000000000001,-6.5310000000000015,1,0.14300000000000002,94.98100000000001,4,0.158,83,2018,57,atl hip hop
0.0959,0.655,190643,0.603,3T9CfDxFYqZWSKxd0BhZrb,0.0,8,0.107,-5.013999999999999,1,0.0555,126.088,4,0.452,70,2018,58,pop
0.0256,0.82,210787,0.568,2Yl4OmDby9iitgNWZPwxkd,0.0,6,0.0952,-8.23,0,0.41100000000000003,152.279,4,0.535,77,2018,59,pop
0.129,0.72,197993,0.807,0tBbt8CrmxbjRP0pueQkyU,0.0,11,0.183,-4.59,0,0.0432,124.946,4,0.305,86,2018,60,dance pop
0.0011099999999999999,0.9079999999999999,224285,0.524,0dIoGTQXDh1wVnhIiSyYEa,0.000678,1,0.38299999999999995,-7.955,1,0.18100000000000002,138.015,4,0.109,77,2018,61,pop
0.0233,0.602,197547,0.6579999999999999,5OCJzvD7sykQEKHH7qAC3C,5.9999999999999995e-05,1,0.237,-5.934,1,0.0558,145.031,4,0.268,86,2018,62,dance pop
0.005520000000000001,0.745,237240,0.34600000000000003,0ZNrc4kNeQYD9koZ3KvCsy,0.0,1,0.0881,-7.709,1,0.331,203.91099999999997,4,0.11199999999999999,82,2018,63,cali rap
0.0223,0.7020000000000001,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0.0,11,0.28300000000000003,-6.9170000000000025,0,0.265,144.004,4,0.873,83,2018,64,dance pop
0.21100000000000002,0.845,200853,0.561,6wmAHw1szh5RCKSRjiXhPe,3.49e-06,1,0.0383,-5.252999999999999,0,0.0778,109.97399999999999,4,0.8109999999999999,79,2018,65,dance pop
0.0632,0.623,223847,0.493,1sYSP7gKa5kdKIfhANfori,0.0,5,0.10400000000000001,-7.727,0,0.0338,81.01899999999998,4,0.594,71,2018,66,dance pop
