acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity,status,artist,title,year,rank,artist1,title,artist2,artist3,artist4,artist5,artist6
0.216,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,0.75,232253,0.404,6NFyWDv5CjfwuzoCkw47Xf,0.000357,9,0.0911,-10.178,0,0.0682,95.045,4,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,audio_features,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.0499,80,,Taylor Swift,Delicate,2018,24,Taylor Swift,Delicate,,,,,
0.035,https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ,0.964,142273,0.346,6vN77lE9LK6HP2DewaN6HZ,0,5,0.108,-9.309,0,0.53,119.958,4,https://api.spotify.com/v1/tracks/6vN77lE9LK6HP2DewaN6HZ,audio_features,spotify:track:6vN77lE9LK6HP2DewaN6HZ,0.562,85,,Lil Baby,Yes Indeed,2018,25,Lil Baby,Yes Indeed,Drake,,,,
0.205,https://api.spotify.com/v1/audio-analysis/08bNPGLD8AhKpnnERrAc6G,0.626,202621,0.88,08bNPGLD8AhKpnnERrAc6G,0,9,0.128,-2.384,0,0.0504,95.079,4,https://api.spotify.com/v1/tracks/08bNPGLD8AhKpnnERrAc6G,audio_features,spotify:track:08bNPGLD8AhKpnnERrAc6G,0.534,87,,Marshmello,Friends,2018,26,Marshmello,Friends,Anne-Marie,,,,
0.0604,https://api.spotify.com/v1/audio-analysis/7y9iMe8SOB6z3NoHE2OfXl,0.675,181279,0.751,7y9iMe8SOB6z3NoHE2OfXl,0,0,0.0893,-3.539,1,0.0296,118.384,4,https://api.spotify.com/v1/tracks/7y9iMe8SOB6z3NoHE2OfXl,audio_features,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,0.612,81,,Halsey,Bad At Love,2018,27,Halsey,Bad At Love,,,,,
0.0236,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,0.884,232959,0.559,5IaHrVsrferBYDm0bDyABy,0,0,0.101,-7.442,1,0.12,97.994,4,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,audio_features,spotify:track:5IaHrVsrferBYDm0bDyABy,0.342,89,,Tyga,Taste,2018,28,Tyga,Taste,Offset,,,,
0.298,https://api.spotify.com/v1/audio-analysis/52okn5MNA47tk87PeZJLEL,0.656,212120,0.721,52okn5MNA47tk87PeZJLEL,0,5,0.173,-5.665,0,0.122,148.066,4,https://api.spotify.com/v1/tracks/52okn5MNA47tk87PeZJLEL,audio_features,spotify:track:52okn5MNA47tk87PeZJLEL,0.468,84,,NF,Let You Down,2018,29,NF,Let You Down,,,,,
0.0117,https://api.spotify.com/v1/audio-analysis/2Xqd0wUttjueBfdcltADOv,0.838,245387,0.771,2Xqd0wUttjueBfdcltADOv,0,1,0.0853,-3.791,1,0.244,175.957,4,https://api.spotify.com/v1/tracks/2Xqd0wUttjueBfdcltADOv,audio_features,spotify:track:2Xqd0wUttjueBfdcltADOv,0.405,78,,G-Eazy,No Limit,2018,30,G-Eazy,No Limit,A$AP Rocky,Cardi B,,,
0.088,https://api.spotify.com/v1/audio-analysis/4QIyEq7TcTdAcxjI2AFlAK,0.931,179405,0.387,4QIyEq7TcTdAcxjI2AFlAK,0,1,0.136,-9.127,1,0.412,125.978,4,https://api.spotify.com/v1/tracks/4QIyEq7TcTdAcxjI2AFlAK,audio_features,spotify:track:4QIyEq7TcTdAcxjI2AFlAK,0.376,85,,6ix9ine,FEFE,2018,31,6ix9ine,FEFE,Nicki Minaj,Murda Beatz,,,
0.0312,https://api.spotify.com/v1/audio-analysis/42fw0rxRO2xbesF6mJfd4Y,0.489,196747,0.581,42fw0rxRO2xbesF6mJfd4Y,0,11,0.132,-5.731,1,0.0281,86.016,4,https://api.spotify.com/v1/tracks/42fw0rxRO2xbesF6mJfd4Y,audio_features,spotify:track:42fw0rxRO2xbesF6mJfd4Y,0.494,76,,Dan + Shay,Tequila,2018,32,Dan + Shay,Tequila,,,,,
0.0417,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,0.801,163253,0.795,6QgjcU0zLnzq5OrUoSZ3OK,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,audio_features,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,0.754,84,,Portugal. The Man,Feel It Still,2018,33,Portugal. The Man,Feel It Still,,,,,
