year,rank,artist,id,genres,popularity,followers
2015,2,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'uk pop']",92,42734350
2015,3,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",90,15399472
2015,4,Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",98,35712231
2015,5,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",85,12783782
2015,6,Maroon 5,04gDigrS5kc9YWfZHwBETP,['pop'],89,17457995
2015,7,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'r&b']",81,7217453
2015,8,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,"['hip hop', 'new jersey rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",78,3360510
2015,9,Sam Smith,2wY79sveU1sp5g7SokKOiI,"['pop', 'post-teen pop']",91,8307963
2015,10,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",92,14930249
2015,11,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']",98,27818380
2015,12,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,"['dance pop', 'pop', 'post-teen pop']",89,14579916
2015,13,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,"['dance pop', 'pop']",82,528073
2015,14,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,"['contemporary country', 'country', 'country road']",79,3897779
2015,15,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",88,27254843
2015,16,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,"['hip hop', 'pittsburgh rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,8069674
2015,17,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,"['indie pop', 'indie poptimism', 'indietronica', 'modern rock', 'pop', 'pop rock']",74,1254591
2015,18,Hozier,2FXC3k01G6Gw61bmprjgqS,"['folk-pop', 'irish singer-songwriter', 'pop']",83,2993480
2015,19,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,"['emo', 'modern rock', 'pop punk']",84,6254659
2015,20,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'tropical house']",85,6315858
2015,21,Katy Perry,6jJ0s89eD6GaHleKKya26X,"['dance pop', 'pop', 'post-teen pop']",85,12673193
2015,22,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,"['contemporary country', 'country', 'country road']",75,2401704
2015,23,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,"['contemporary country', 'country pop']",74,1573829
2015,24,Beyonce,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'post-teen pop', 'r&b']",86,18199637
2015,25,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'nc hip hop', 'pop rap', 'rap']",91,8059419
2015,26,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",90,31096453
2015,27,Nick Jonas,4Rxn7Im3LGfyRkY2FlHhWi,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']",76,4258384
2015,28,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,"['dance pop', 'pinoy hip hop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",84,6678960
2015,29,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",84,2725450
2015,30,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop', 'post-teen pop']",91,20623359
2015,31,Silento,7juKTDFlPesGeWQ1GmjmOv,['pinoy hip hop'],56,212266
2015,32,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,"['album rock', 'british invasion', 'classic rock', 'protopunk', 'rock']",82,6496143
2015,33,OMI,5MouCg6ta7zAxsfMEbc1uh,"['dance pop', 'tropical house']",68,443568
2015,34,U2,51Blml2LZPmy7TTiAg47vQ,"['irish rock', 'permanent wave', 'rock']",81,4715174
2015,35,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,"['dance pop', 'electropop', 'indie poptimism', 'metropopolis', 'pop', 'post-teen pop', 'r&b', 'swedish electropop', 'swedish pop', 'swedish synthpop']",78,1932436
2015,36,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,"['dance pop', 'pop', 'post-teen pop', 'r&b']",86,13360421
2015,37,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",90,12246547
2015,38,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",89,8443691
2015,39,Future,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",90,7733683
2015,40,Big Sean,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",84,5970142
2015,41,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",81,4752999
2015,42,5 Seconds Of Summer,5Rl15oVamLq7FbSb0NNBNy,"['boy band', 'dance pop', 'pop', 'post-teen pop']",86,4474856
2015,43,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,"['contemporary country', 'country', 'country road', 'modern country rock']",75,1957563
2015,44,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,"['contemporary country', 'country', 'country road']",75,4151944
2015,45,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",89,16030862
2015,46,Sia,5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'dance pop', 'pop']",89,11441389
2015,47,Zac Brown Band,6yJCxee7QumYr820xdIsjo,"['contemporary country', 'country', 'country road', 'modern country rock']",76,1451598
2015,48,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,"['contemporary country', 'country', 'country road']",79,2965423
2015,49,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,"['modern rock', 'rock']",92,17968308
2015,50,Rachel Platten,3QLIkT4rD2FMusaqmkepbq,"['pop', 'post-teen pop', 'viral pop']",69,716934
2015,51,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,"['contemporary country', 'country', 'country dawn', 'country road', 'dance pop', 'pop', 'post-teen pop']",75,3257548
2015,52,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'r&b', 'talent show', 'viral pop']",77,8105371
2015,53,Andy Grammer,2oX42qP5ineK3hrhBECLmj,"['dance pop', 'indie cafe pop', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'viral pop']",74,587234
2015,54,Pitbull,0TnOYISbd1XYRBk9myaseg,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",83,6824104
2015,55,Pentatonix,26AHtbjWKiwYzsoGoUZq53,['a cappella'],73,2215084
2015,56,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",82,3087665
2015,57,Meek Mill,20sxb77xiYeusSH8cVdatc,"['hip hop', 'philly rap', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",87,3089872
2015,58,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['dance pop', 'edm', 'pop']",90,18287383
2015,59,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",83,6504838
2015,60,Adele,4dpARuHxo51G3z768sgnrY,"['british soul', 'pop', 'uk pop']",85,15099176
2015,61,Justin Timberlake,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']",83,7840587
2015,62,Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",76,3909116
2015,63,Eminem,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",93,25932460
