acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.449,https://api.spotify.com/v1/audio-analysis/3XF5xLJHOQQRbWya6hBp7d,0.672,180953,0.552,3XF5xLJHOQQRbWya6hBp7d,0.152,4,0.138,-10.512,1,0.174,0.62793125,150.469,4,https://api.spotify.com/v1/tracks/3XF5xLJHOQQRbWya6hBp7d,audio_features,spotify:track:3XF5xLJHOQQRbWya6hBp7d,0.259
0.31,https://api.spotify.com/v1/audio-analysis/0xoUDiOLXqp9qB3S9FkvUI,0.787,336867,0.792,0xoUDiOLXqp9qB3S9FkvUI,0,1,0.138,-7.187,1,0.328,0.6877,160.032,4,https://api.spotify.com/v1/tracks/0xoUDiOLXqp9qB3S9FkvUI,audio_features,spotify:track:0xoUDiOLXqp9qB3S9FkvUI,0.506
0.713,https://api.spotify.com/v1/audio-analysis/5W6bPOr0h76yXR1wXWUT7h,0.706,189173,0.663,5W6bPOr0h76yXR1wXWUT7h,0,5,0.302,-6.986,0,0.192,0.49988125,129.981,4,https://api.spotify.com/v1/tracks/5W6bPOr0h76yXR1wXWUT7h,audio_features,spotify:track:5W6bPOr0h76yXR1wXWUT7h,0.537
0.0169,https://api.spotify.com/v1/audio-analysis/2iUXsYOEPhVqEBwsqP70rE,0.596,203418,0.854,2iUXsYOEPhVqEBwsqP70rE,0,7,0.124,-5.114,0,0.463,0.4392125,120.274,4,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE,audio_features,spotify:track:2iUXsYOEPhVqEBwsqP70rE,0.152
0.00987,https://api.spotify.com/v1/audio-analysis/27rdGxbavYJeBphck5MZAF,0.601,217467,0.794,27rdGxbavYJeBphck5MZAF,1.36E-06,7,0.388,-5.844,0,0.0671,0.4004125,114.066,4,https://api.spotify.com/v1/tracks/27rdGxbavYJeBphck5MZAF,audio_features,spotify:track:27rdGxbavYJeBphck5MZAF,0.244
0.74,https://api.spotify.com/v1/audio-analysis/2qxmye6gAegTMjLKEBoR3d,0.652,169354,0.557,2qxmye6gAegTMjLKEBoR3d,0,1,0.124,-5.714,0,0.0318,0.62545625,150.073,4,https://api.spotify.com/v1/tracks/2qxmye6gAegTMjLKEBoR3d,audio_features,spotify:track:2qxmye6gAegTMjLKEBoR3d,0.483
0.0529,https://api.spotify.com/v1/audio-analysis/0A5gdlrpAuQqZ2iFgnqBFW,0.813,173067,0.761,0A5gdlrpAuQqZ2iFgnqBFW,0.0119,10,0.337,-5.687,0,0.085,0.46848125,124.957,4,https://api.spotify.com/v1/tracks/0A5gdlrpAuQqZ2iFgnqBFW,audio_features,spotify:track:0A5gdlrpAuQqZ2iFgnqBFW,0.29
0.11,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,0.737,193227,0.86,5w9c2J52mkdntKOmRLeM2m,1.94E-06,8,0.0574,-2.652,0,0.0593,0.27493125,93.989,4,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,audio_features,spotify:track:5w9c2J52mkdntKOmRLeM2m,0.656
0.778,https://api.spotify.com/v1/audio-analysis/4QIo4oxwzzafcBWkKjDpXY,0.512,243725,0.128,4QIo4oxwzzafcBWkKjDpXY,0.00118,9,0.277,-17.827,1,0.313,0.3693875,109.102,4,https://api.spotify.com/v1/tracks/4QIo4oxwzzafcBWkKjDpXY,audio_features,spotify:track:4QIo4oxwzzafcBWkKjDpXY,0.0473
0.0232,https://api.spotify.com/v1/audio-analysis/2RP8Svo0pMwZXnVcmOffDw,0.734,207013,0.76,2RP8Svo0pMwZXnVcmOffDw,0,11,0.127,-5.267,0,0.0415,0.45045,122.072,4,https://api.spotify.com/v1/tracks/2RP8Svo0pMwZXnVcmOffDw,audio_features,spotify:track:2RP8Svo0pMwZXnVcmOffDw,0.685
0.567,https://api.spotify.com/v1/audio-analysis/25fiDfKeimedNSPNXrQYcY,0.719,210089,0.555,25fiDfKeimedNSPNXrQYcY,0,1,0.0873,-8.265,1,0.351,0.14520625,73.233,4,https://api.spotify.com/v1/tracks/25fiDfKeimedNSPNXrQYcY,audio_features,spotify:track:25fiDfKeimedNSPNXrQYcY,0.705
0.156,https://api.spotify.com/v1/audio-analysis/63SevszngYpZOwf63o61K4,0.592,156600,0.691,63SevszngYpZOwf63o61K4,9.78E-06,3,0.418,-8.354,1,0.196,0.31235,99.976,4,https://api.spotify.com/v1/tracks/63SevszngYpZOwf63o61K4,audio_features,spotify:track:63SevszngYpZOwf63o61K4,0.0796
0.556,https://api.spotify.com/v1/audio-analysis/4SIVAJIeJN2KrcL6x5auUH,0.793,240006,0.595,4SIVAJIeJN2KrcL6x5auUH,0,6,0.109,-7.239,0,0.213,0.4995125,129.922,4,https://api.spotify.com/v1/tracks/4SIVAJIeJN2KrcL6x5auUH,audio_features,spotify:track:4SIVAJIeJN2KrcL6x5auUH,0.736
0.714,https://api.spotify.com/v1/audio-analysis/1gnKUue6F9gXXHQshCBwEs,0.585,189427,0.772,1gnKUue6F9gXXHQshCBwEs,6.97E-06,10,0.113,-6.619,0,0.196,0.30978125,99.565,4,https://api.spotify.com/v1/tracks/1gnKUue6F9gXXHQshCBwEs,audio_features,spotify:track:1gnKUue6F9gXXHQshCBwEs,0.364
0.0988,https://api.spotify.com/v1/audio-analysis/5RRAlI1Etp2NWYDftXeP9r,0.858,181093,0.587,5RRAlI1Etp2NWYDftXeP9r,0,8,0.115,-6.8,0,0.266,0.37451875,109.923,4,https://api.spotify.com/v1/tracks/5RRAlI1Etp2NWYDftXeP9r,audio_features,spotify:track:5RRAlI1Etp2NWYDftXeP9r,0.202
