acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.0308,https://api.spotify.com/v1/audio-analysis/4nvsA575k8HrEjdQ78Ymvi,0.739,194651,0.539,4nvsA575k8HrEjdQ78Ymvi,0.000233,7,0.0961,-7.486,1,0.271,0.22478125,85.965,4,https://api.spotify.com/v1/tracks/4nvsA575k8HrEjdQ78Ymvi,audio_features,spotify:track:4nvsA575k8HrEjdQ78Ymvi,0.358,
0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,215733,0.385,2VxeLyX666F8uXCJ0dZF8B,0,7,0.231,-6.362,1,0.0308,0.28624375,95.799,4,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,audio_features,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.323,
0.201,https://api.spotify.com/v1/audio-analysis/5tr9RCfTte9pnhtmOZry8w,0.762,203000,0.717,5tr9RCfTte9pnhtmOZry8w,0,2,0.115,-5.174,1,0.0983,0.1873375,79.974,4,https://api.spotify.com/v1/tracks/5tr9RCfTte9pnhtmOZry8w,audio_features,spotify:track:5tr9RCfTte9pnhtmOZry8w,0.606,
0.163,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,0.833,149520,0.539,6MWtB6iiXyIwun0YzU6DFP,2.10E-06,11,0.101,-7.399,0,0.178,0.31216875,99.947,4,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,audio_features,spotify:track:6MWtB6iiXyIwun0YzU6DFP,0.385,
0.17,https://api.spotify.com/v1/audio-analysis/5N0nmOmc0MqPZTYKw4fVV6,0.736,238000,0.878,5N0nmOmc0MqPZTYKw4fVV6,2.04E-05,0,0.0913,-5.307,1,0.224,0.712175,163.948,4,https://api.spotify.com/v1/tracks/5N0nmOmc0MqPZTYKw4fVV6,audio_features,spotify:track:5N0nmOmc0MqPZTYKw4fVV6,0.854,
0.6,https://api.spotify.com/v1/audio-analysis/3khEqTNuOQH20EejKha7FR,0.543,251141,0.417,3khEqTNuOQH20EejKha7FR,0,5,0.0904,-8.527,1,0.0354,0.5388,136.208,3,https://api.spotify.com/v1/tracks/3khEqTNuOQH20EejKha7FR,audio_features,spotify:track:3khEqTNuOQH20EejKha7FR,0.195,
0.167,https://api.spotify.com/v1/audio-analysis/3xGD5KhnizETt7KQwxtUAc,0.698,201961,0.636,3xGD5KhnizETt7KQwxtUAc,0,8,0.125,-5.844,1,0.034,0.3580125,107.282,3,https://api.spotify.com/v1/tracks/3xGD5KhnizETt7KQwxtUAc,audio_features,spotify:track:3xGD5KhnizETt7KQwxtUAc,0.313,
0.0253,https://api.spotify.com/v1/audio-analysis/3Ls9yKzshQye18Tx2AvOb6,0.549,231920,0.765,3Ls9yKzshQye18Tx2AvOb6,0,1,0.855,-5.138,1,0.309,0.4500125,122.002,4,https://api.spotify.com/v1/tracks/3Ls9yKzshQye18Tx2AvOb6,audio_features,spotify:track:3Ls9yKzshQye18Tx2AvOb6,0.513,
0.193,https://api.spotify.com/v1/audio-analysis/1rqqCSm0Qe4I9rUvWncaom,0.579,190947,0.904,1rqqCSm0Qe4I9rUvWncaom,0,5,0.064,-2.729,1,0.0618,0.2000875,82.014,4,https://api.spotify.com/v1/tracks/1rqqCSm0Qe4I9rUvWncaom,audio_features,spotify:track:1rqqCSm0Qe4I9rUvWncaom,0.681,
0.922,https://api.spotify.com/v1/audio-analysis/6wsqUfONimX0RXOrtmjGX6,0.427,181875,0.149,6wsqUfONimX0RXOrtmjGX6,2.94E-06,9,0.12,-11.177,1,0.0437,0.43774375,120.039,4,https://api.spotify.com/v1/tracks/6wsqUfONimX0RXOrtmjGX6,audio_features,spotify:track:6wsqUfONimX0RXOrtmjGX6,0.289,
