acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.194,0.729,183907,0.625,1xzBco0xcoJEDXktl7Jxrr,0.00986,4,0.248,-5.266,1,0.0315,146.034,4,0.261
0.556,0.826,236216,0.449,278kSqsZIiYp8p3QjYAqa8,1.85E-05,5,0.273,-8.33,0,0.0674,128.028,4,0.337
0.123,0.673,215880,0.907,5xMzazov0IHYllrc8U2K6F,0,1,0.423,-3.716,0,0.074,109.04,4,0.768
0.161,0.684,250840,0.811,5qFeMRz4TvetPmzjre9Dq7,0.000363,7,0.0871,-4.494,1,0.0714,87.866,4,0.721
0.187,0.836,217653,0.799,00EPIEnX1JFjff8sC6bccd,0,7,0.092,-4.247,0,0.0873,94.033,4,0.772
0.128,0.734,235315,0.793,5bITfqKGaPakO1l99hOMsI,0,6,0.0658,-4.731,1,0.0454,89.961,4,0.511
0.0559,0.832,209453,0.772,3QwBODjSEzelZyVjxPOHdq,0.000486,10,0.44,-5.429,1,0.1,96.016,4,0.704
0.753,0.688,360960,0.62,224EVTFiLsdQignUFLvDeH,5.27E-06,11,0.158,-8.029,0,0.22,170.018,4,0.727
0.0441,0.724,256418,0.791,2ktoFujjJtantyMoVdBJlX,6.55E-06,7,0.239,-5.411,1,0.169,176.011,4,0.856
0.071,0.813,165942,0.663,0l8vhDaEztxLCQsFOAX64d,0,6,0.115,-7.84,0,0.0433,140.016,4,0.343
0.0117,0.695,141317,0.775,05rJdH2MRLJ3sQoEUO78qs,0.191,11,0.0702,-5.041,0,0.0887,180.054,4,0.869
0.146,0.592,209449,0.572,5NsCv3I7o0f6vSQScG01f1,0.000172,5,0.115,-8.974,0,0.185,164.08,4,0.315
0.429,0.684,245440,0.762,2alIsNw1mqEShbWyO1HXZZ,0,0,0.0852,-5.18,1,0.0501,172.009,4,0.892
0.519,0.732,178000,0.583,7r55d7IhAj5UGKiYbXBwRP,1.97E-05,7,0.108,-6.766,1,0.125,100.464,4,0.277
0.372,0.773,187125,0.57,3rPAD722s5FFNnwjC91t7Z,0.00524,8,0.108,-3.482,1,0.113,95.038,4,0.772
0.4,0.761,222560,0.838,3AEZUABDXNtecAOSC1qTfo,0,4,0.176,-3.073,0,0.0502,93.974,4,0.71
0.0165,0.747,158800,0.74,2D3z17LBMJ2HEHeBFFjTLi,9.94E-05,4,0.101,-4.325,0,0.191,176.059,4,0.552
0.269,0.601,190295,0.775,6jreFSOTUAViWjKyzOC4Kg,0,0,0.0883,-4.612,1,0.0473,119.964,4,0.483
0.155,0.773,223381,0.74,6pLKMPAUlBCjHjylj2Nbd9,0.514,5,0.159,-7.21,1,0.0895,117.023,4,0.226
0.0837,0.804,238587,0.886,0pSBuHjILhNEo55xK1zrRt,0,1,0.266,-2.512,1,0.04,144.946,4,0.789
0.172,0.644,198627,0.68,3uB8KqnEoQq5bTQ1JFHJ7Y,4.06E-05,5,0.0435,-3.863,0,0.24,125.465,5,0.683
0.551,0.508,205600,0.687,6rQSrBHf7HlZjtcMZ4S4bO,3.41E-06,0,0.126,-4.361,1,0.326,180.044,4,0.555
0.165,0.855,226800,0.664,5Y9fnynLlIvqtM710MHzfz,3.97E-05,9,0.0937,-7.11,0,0.0607,98.015,4,0.626
0.602,0.807,258800,0.803,5W83ErFkO3aKAIS1WMi6u0,0.00853,11,0.136,-4.156,1,0.126,91.987,4,0.706
0.445,0.347,276708,0.578,5cQB9fbuQCz4muQUFkv3rR,0,8,0.231,-7.525,1,0.0626,86.73,5,0.226
0.374,0.83,237013,0.71,5KbBGUpIZd6gVFUU8tqYiQ,0,11,0.0877,-5.523,0,0.326,93.977,4,0.703
0.204,0.685,221027,0.731,4yN6xPLopmTLvc27pO9LIE,0,5,0.0722,-5.119,0,0.093,177.912,4,0.786
0.154,0.889,201280,0.853,6qDF4wWL49CAVbgT7yuHl8,0.000107,9,0.205,-4.26,1,0.241,93.022,4,0.922
0.354,0.791,188560,0.745,2ijef6ni2amuunRoKTlgww,2.93E-05,11,0.104,-3.695,0,0.0464,94.014,4,0.82
0.483,0.704,195044,0.706,675w3ACw5xZR3ODhUJlEVN,0,11,0.0965,-5.233,0,0.111,92.965,4,0.856
